Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,SP,ADAMANTINA,AUTO POSTO CASTELO BRANCO DE ADAMANTINA LTDA,09.116.143/0001-38,AVENIDA MARECHAL CASTELO BRANCO,15,,VILA JAMIL DE LIMA,17800-000,ETANOL,22/06/2023,3.17,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO CASTELO BRANCO DE ADAMANTINA LTDA,09.116.143/0001-38,AVENIDA MARECHAL CASTELO BRANCO,15,,VILA JAMIL DE LIMA,17800-000,DIESEL S10,22/06/2023,4.78,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO CASTELO BRANCO DE ADAMANTINA LTDA,09.116.143/0001-38,AVENIDA MARECHAL CASTELO BRANCO,15,,VILA JAMIL DE LIMA,17800-000,GASOLINA ADITIVADA,22/06/2023,5.18,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO CASTELO BRANCO DE ADAMANTINA LTDA,09.116.143/0001-38,AVENIDA MARECHAL CASTELO BRANCO,15,,VILA JAMIL DE LIMA,17800-000,GASOLINA,22/06/2023,5.18,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO CARREIRO LTDA,55.451.876/0001-46,AVENIDA CAP JOSE A DE OLIVEIRA,160,,CENTRO,17800-000,ETANOL,22/06/2023,3.17,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO CARREIRO LTDA,55.451.876/0001-46,AVENIDA CAP JOSE A DE OLIVEIRA,160,,CENTRO,17800-000,DIESEL S10,22/06/2023,4.78,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO CARREIRO LTDA,55.451.876/0001-46,AVENIDA CAP JOSE A DE OLIVEIRA,160,,CENTRO,17800-000,DIESEL,22/06/2023,4.65,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO CARREIRO LTDA,55.451.876/0001-46,AVENIDA CAP JOSE A DE OLIVEIRA,160,,CENTRO,17800-000,GASOLINA ADITIVADA,22/06/2023,5.19,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO CARREIRO LTDA,55.451.876/0001-46,AVENIDA CAP JOSE A DE OLIVEIRA,160,,CENTRO,17800-000,GASOLINA,22/06/2023,5.18,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO PROGRESSO DE ADAMANTINA LTDA,52.605.052/0001-95,AVENIDA RIO BRANCO,764,,CENTRO,17800-000,ETANOL,22/06/2023,3.27,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO PROGRESSO DE ADAMANTINA LTDA,52.605.052/0001-95,AVENIDA RIO BRANCO,764,,CENTRO,17800-000,DIESEL S10,22/06/2023,4.87,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO PROGRESSO DE ADAMANTINA LTDA,52.605.052/0001-95,AVENIDA RIO BRANCO,764,,CENTRO,17800-000,GASOLINA ADITIVADA,22/06/2023,5.28,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,AUTO POSTO PROGRESSO DE ADAMANTINA LTDA,52.605.052/0001-95,AVENIDA RIO BRANCO,764,,CENTRO,17800-000,GASOLINA,22/06/2023,5.18,,R$ / litro,BRANCA,2023-11-21
SE,SP,ADAMANTINA,MARCIO A SPOSITO TRANSPORTES LTDA,54.187.588/0002-44,AVENIDA RIO BRANCO,1625,,VILA INDUSTRIAL,17800-000,ETANOL,22/06/2023,3.19,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ADAMANTINA,MARCIO A SPOSITO TRANSPORTES LTDA,54.187.588/0002-44,AVENIDA RIO BRANCO,1625,,VILA INDUSTRIAL,17800-000,DIESEL S10,22/06/2023,5.79,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ADAMANTINA,MARCIO A SPOSITO TRANSPORTES LTDA,54.187.588/0002-44,AVENIDA RIO BRANCO,1625,,VILA INDUSTRIAL,17800-000,GASOLINA ADITIVADA,22/06/2023,5.49,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ADAMANTINA,MARCIO A SPOSITO TRANSPORTES LTDA,54.187.588/0002-44,AVENIDA RIO BRANCO,1625,,VILA INDUSTRIAL,17800-000,GASOLINA,22/06/2023,5.39,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ADAMANTINA,MAVESA MATUOKA VEICULOS LTDA,43.001.569/0002-65,AVENIDA RIO BRANCO,600,,CENTRO,17800-000,ETANOL,22/06/2023,3.39,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ADAMANTINA,MAVESA MATUOKA VEICULOS LTDA,43.001.569/0002-65,AVENIDA RIO BRANCO,600,,CENTRO,17800-000,GASOLINA ADITIVADA,22/06/2023,5.39,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ADAMANTINA,MAVESA MATUOKA VEICULOS LTDA,43.001.569/0002-65,AVENIDA RIO BRANCO,600,,CENTRO,17800-000,GASOLINA,22/06/2023,5.29,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,J M ANDRETA & CIA LTDA,48.827.125/0001-16,AVENIDA BERNARDINO DE CAMPOS,535,,CENTRO,13900-400,ETANOL,21/06/2023,3.89,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,J M ANDRETA & CIA LTDA,48.827.125/0001-16,AVENIDA BERNARDINO DE CAMPOS,535,,CENTRO,13900-400,DIESEL S10,21/06/2023,5.19,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,J M ANDRETA & CIA LTDA,48.827.125/0001-16,AVENIDA BERNARDINO DE CAMPOS,535,,CENTRO,13900-400,DIESEL,21/06/2023,5.14,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,J M ANDRETA & CIA LTDA,48.827.125/0001-16,AVENIDA BERNARDINO DE CAMPOS,535,,CENTRO,13900-400,GASOLINA ADITIVADA,21/06/2023,5.54,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,J M ANDRETA & CIA LTDA,48.827.125/0001-16,AVENIDA BERNARDINO DE CAMPOS,535,,CENTRO,13900-400,GASOLINA,21/06/2023,5.34,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,J M ANDRETA & CIA LTDA,48.827.125/0002-05,RUA BENTA MARIA DE BARROS,181,,ARCADAS,13908-000,ETANOL,21/06/2023,3.89,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,J M ANDRETA & CIA LTDA,48.827.125/0002-05,RUA BENTA MARIA DE BARROS,181,,ARCADAS,13908-000,DIESEL S10,21/06/2023,5.19,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,J M ANDRETA & CIA LTDA,48.827.125/0002-05,RUA BENTA MARIA DE BARROS,181,,ARCADAS,13908-000,DIESEL,21/06/2023,5.14,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,J M ANDRETA & CIA LTDA,48.827.125/0002-05,RUA BENTA MARIA DE BARROS,181,,ARCADAS,13908-000,GASOLINA,21/06/2023,5.34,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,POSTINHO AVENIDA COMERCIAL LTDA,51.300.887/0001-74,AVENIDA BERNANDINO DE CAMPOS,999,,RIBEIRÃO,13900-000,ETANOL,21/06/2023,3.87,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,POSTINHO AVENIDA COMERCIAL LTDA,51.300.887/0001-74,AVENIDA BERNANDINO DE CAMPOS,999,,RIBEIRÃO,13900-000,DIESEL,21/06/2023,5.07,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,POSTINHO AVENIDA COMERCIAL LTDA,51.300.887/0001-74,AVENIDA BERNANDINO DE CAMPOS,999,,RIBEIRÃO,13900-000,GASOLINA ADITIVADA,21/06/2023,5.41,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,POSTINHO AVENIDA COMERCIAL LTDA,51.300.887/0001-74,AVENIDA BERNANDINO DE CAMPOS,999,,RIBEIRÃO,13900-000,GASOLINA,21/06/2023,5.26,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,AUTO POSTO N. SRA. DO AMPARO LTDA,45.672.680/0001-28,AVENIDA DOUTOR CARLOS BURGOS,3300,,CENTRO,13905-000,ETANOL,21/06/2023,3.99,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,AUTO POSTO N. SRA. DO AMPARO LTDA,45.672.680/0001-28,AVENIDA DOUTOR CARLOS BURGOS,3300,,CENTRO,13905-000,DIESEL S10,21/06/2023,5.49,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,AUTO POSTO N. SRA. DO AMPARO LTDA,45.672.680/0001-28,AVENIDA DOUTOR CARLOS BURGOS,3300,,CENTRO,13905-000,DIESEL,21/06/2023,5.44,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,AUTO POSTO N. SRA. DO AMPARO LTDA,45.672.680/0001-28,AVENIDA DOUTOR CARLOS BURGOS,3300,,CENTRO,13905-000,GASOLINA ADITIVADA,21/06/2023,5.54,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,AUTO POSTO N. SRA. DO AMPARO LTDA,45.672.680/0001-28,AVENIDA DOUTOR CARLOS BURGOS,3300,,CENTRO,13905-000,GASOLINA,21/06/2023,5.44,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,AMPARO,SIQUEIRA COMBUSTIVEIS LTDA,03.245.450/0001-32,RUA PEIXOTO GOMIDE,157,,CENTRO,13900-210,ETANOL,21/06/2023,3.99,,R$ / litro,ALESAT,2023-11-21
SE,SP,AMPARO,SIQUEIRA COMBUSTIVEIS LTDA,03.245.450/0001-32,RUA PEIXOTO GOMIDE,157,,CENTRO,13900-210,DIESEL S10,21/06/2023,5.29,,R$ / litro,ALESAT,2023-11-21
SE,SP,AMPARO,SIQUEIRA COMBUSTIVEIS LTDA,03.245.450/0001-32,RUA PEIXOTO GOMIDE,157,,CENTRO,13900-210,DIESEL,21/06/2023,5.24,,R$ / litro,ALESAT,2023-11-21
SE,SP,AMPARO,SIQUEIRA COMBUSTIVEIS LTDA,03.245.450/0001-32,RUA PEIXOTO GOMIDE,157,,CENTRO,13900-210,GASOLINA ADITIVADA,21/06/2023,5.59,,R$ / litro,ALESAT,2023-11-21
SE,SP,AMPARO,SIQUEIRA COMBUSTIVEIS LTDA,03.245.450/0001-32,RUA PEIXOTO GOMIDE,157,,CENTRO,13900-210,GASOLINA,21/06/2023,5.39,,R$ / litro,ALESAT,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO PARQUE DE ARARAQUARA EIRELI - EPP,06.949.914/0001-80,RUA SÃO BENTO,1865,,CENTRO,14801-300,ETANOL,22/06/2023,3.19,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO PARQUE DE ARARAQUARA EIRELI - EPP,06.949.914/0001-80,RUA SÃO BENTO,1865,,CENTRO,14801-300,DIESEL,22/06/2023,4.89,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO PARQUE DE ARARAQUARA EIRELI - EPP,06.949.914/0001-80,RUA SÃO BENTO,1865,,CENTRO,14801-300,GASOLINA,22/06/2023,4.97,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO LIDER ARARAQUARA LTDA,04.490.125/0001-06,RUA GONCALVES DIAS,1360,,CENTRO,14801-290,ETANOL,22/06/2023,3.69,,R$ / litro,RAIZEN,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO LIDER ARARAQUARA LTDA,04.490.125/0001-06,RUA GONCALVES DIAS,1360,,CENTRO,14801-290,GASOLINA,22/06/2023,5.29,,R$ / litro,RAIZEN,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO 36 LTDA,50.714.575/0001-44,AVENIDA PE FRANCISCO COLTURATO,124,,SAO GERALDO,14801-250,ETANOL,22/06/2023,3.69,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO 36 LTDA,50.714.575/0001-44,AVENIDA PE FRANCISCO COLTURATO,124,,SAO GERALDO,14801-250,DIESEL S10,22/06/2023,5.29,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO 36 LTDA,50.714.575/0001-44,AVENIDA PE FRANCISCO COLTURATO,124,,SAO GERALDO,14801-250,GASOLINA ADITIVADA,22/06/2023,5.49,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO 36 LTDA,50.714.575/0001-44,AVENIDA PE FRANCISCO COLTURATO,124,,SAO GERALDO,14801-250,GASOLINA,22/06/2023,5.29,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ARARAQUARA,POSTO LEBRAO DE ARARAQUARA LTDA.,04.673.832/0001-20,AVENIDA BARROSO,469,,CENTRO,14801-160,ETANOL,22/06/2023,3.34,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,POSTO LEBRAO DE ARARAQUARA LTDA.,04.673.832/0001-20,AVENIDA BARROSO,469,,CENTRO,14801-160,GASOLINA ADITIVADA,22/06/2023,5.29,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,POSTO LEBRAO DE ARARAQUARA LTDA.,04.673.832/0001-20,AVENIDA BARROSO,469,,CENTRO,14801-160,GASOLINA,22/06/2023,4.81,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO IRMAOS DE FAVERI LTDA.,03.306.973/0001-41,AVENIDA PROFESSOR EUGENIO FRANCISCO MALAMAN,"1,237",,BOSQUE DA SAUDE,14802-080,ETANOL,22/06/2023,3.34,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO IRMAOS DE FAVERI LTDA.,03.306.973/0001-41,AVENIDA PROFESSOR EUGENIO FRANCISCO MALAMAN,"1,237",,BOSQUE DA SAUDE,14802-080,GASOLINA ADITIVADA,22/06/2023,5.29,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO IRMAOS DE FAVERI LTDA.,03.306.973/0001-41,AVENIDA PROFESSOR EUGENIO FRANCISCO MALAMAN,"1,237",,BOSQUE DA SAUDE,14802-080,GASOLINA,22/06/2023,4.84,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO PODIUM LTDA,02.975.066/0001-22,AVENIDA MANUEL DE ABREU,4205,,CHACARA VELOSA,14806-545,ETANOL,22/06/2023,3.31,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO PODIUM LTDA,02.975.066/0001-22,AVENIDA MANUEL DE ABREU,4205,,CHACARA VELOSA,14806-545,GASOLINA,22/06/2023,4.7,,R$ / litro,BRANCA,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO BALAO DA 36 LTDA.,02.670.700/0001-19,AVENIDA PDE FRANCISCO COLTURATO,1323,,SANTANA,14801-250,ETANOL,22/06/2023,3.69,,R$ / litro,RAIZEN,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO BALAO DA 36 LTDA.,02.670.700/0001-19,AVENIDA PDE FRANCISCO COLTURATO,1323,,SANTANA,14801-250,DIESEL S10,22/06/2023,5.19,,R$ / litro,RAIZEN,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO BALAO DA 36 LTDA.,02.670.700/0001-19,AVENIDA PDE FRANCISCO COLTURATO,1323,,SANTANA,14801-250,GASOLINA ADITIVADA,22/06/2023,5.49,,R$ / litro,RAIZEN,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO BALAO DA 36 LTDA.,02.670.700/0001-19,AVENIDA PDE FRANCISCO COLTURATO,1323,,SANTANA,14801-250,GASOLINA,22/06/2023,5.29,,R$ / litro,RAIZEN,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO FAVERAL LTDA,02.155.815/0001-75,RUA HENRIQUE LUPO,581,,VL.JOSE BONIFACIO,14802-440,ETANOL,22/06/2023,3.39,,R$ / litro,ALESAT,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO FAVERAL LTDA,02.155.815/0001-75,RUA HENRIQUE LUPO,581,,VL.JOSE BONIFACIO,14802-440,DIESEL S10,22/06/2023,4.79,,R$ / litro,ALESAT,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO FAVERAL LTDA,02.155.815/0001-75,RUA HENRIQUE LUPO,581,,VL.JOSE BONIFACIO,14802-440,GASOLINA ADITIVADA,22/06/2023,4.95,,R$ / litro,ALESAT,2023-11-21
SE,SP,ARARAQUARA,AUTO POSTO FAVERAL LTDA,02.155.815/0001-75,RUA HENRIQUE LUPO,581,,VL.JOSE BONIFACIO,14802-440,GASOLINA,22/06/2023,4.94,,R$ / litro,ALESAT,2023-11-21
SE,SP,ARARAQUARA,REYSSOL COMERCIO E SERVIÇOS LTDA,00.218.960/0001-22,AVENIDA PADRE FRANCISCO COLTURATO,22,,JARDIM PRIMAVERA,14802-000,ETANOL,22/06/2023,3.69,,R$ / litro,RAIZEN,2023-11-21
SE,SP,ARARAQUARA,REYSSOL COMERCIO E SERVIÇOS LTDA,00.218.960/0001-22,AVENIDA PADRE FRANCISCO COLTURATO,22,,JARDIM PRIMAVERA,14802-000,GASOLINA,22/06/2023,5.29,,R$ / litro,RAIZEN,2023-11-21
SE,SP,ATIBAIA,POSTO 22 - ATIBAIA LTDA,05.343.449/0001-76,RODOVIA FERNAO DIAS,S/N,"KM. 47,5",PORTAO,12949-030,ETANOL,21/06/2023,3.99,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,SP,ATIBAIA,POSTO 22 - ATIBAIA LTDA,05.343.449/0001-76,RODOVIA FERNAO DIAS,S/N,"KM. 47,5",PORTAO,12949-030,DIESEL S10,21/06/2023,4.79,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,SP,ATIBAIA,POSTO 22 - ATIBAIA LTDA,05.343.449/0001-76,RODOVIA FERNAO DIAS,S/N,"KM. 47,5",PORTAO,12949-030,DIESEL,21/06/2023,4.69,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,SP,ATIBAIA,POSTO 22 - ATIBAIA LTDA,05.343.449/0001-76,RODOVIA FERNAO DIAS,S/N,"KM. 47,5",PORTAO,12949-030,GASOLINA,21/06/2023,5.49,,R$ / litro,VIBRA ENERGIA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO ESTRELA DO SULLTDA,55.082.119/0003-04,AVENIDA PROF. FLAVIO PIRES DE CAMARGO,745,,CAETETUBA,12951-750,ETANOL,21/06/2023,3.39,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO ESTRELA DO SULLTDA,55.082.119/0003-04,AVENIDA PROF. FLAVIO PIRES DE CAMARGO,745,,CAETETUBA,12951-750,DIESEL S10,21/06/2023,4.78,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO ESTRELA DO SULLTDA,55.082.119/0003-04,AVENIDA PROF. FLAVIO PIRES DE CAMARGO,745,,CAETETUBA,12951-750,GASOLINA,21/06/2023,4.88,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO ULTRAMARINO LTDA,46.345.658/0001-36,RODOVIA FERNAO DIAS,S/N,KM 40,JARDIM IMPERIAL,12940-000,ETANOL,21/06/2023,3.67,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO ULTRAMARINO LTDA,46.345.658/0001-36,RODOVIA FERNAO DIAS,S/N,KM 40,JARDIM IMPERIAL,12940-000,DIESEL S10,21/06/2023,4.93,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO ULTRAMARINO LTDA,46.345.658/0001-36,RODOVIA FERNAO DIAS,S/N,KM 40,JARDIM IMPERIAL,12940-000,DIESEL,21/06/2023,4.83,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO ULTRAMARINO LTDA,46.345.658/0001-36,RODOVIA FERNAO DIAS,S/N,KM 40,JARDIM IMPERIAL,12940-000,GASOLINA ADITIVADA,21/06/2023,5.22,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO ULTRAMARINO LTDA,46.345.658/0001-36,RODOVIA FERNAO DIAS,S/N,KM 40,JARDIM IMPERIAL,12940-000,GASOLINA,21/06/2023,5.22,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,LUCAS AUTO POSTO LTDA,02.243.652/0001-82,ALAMEDA PROF LUCAS N.GARCES,3816,,VL ESPERIA,12953-162,ETANOL,21/06/2023,3.39,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,LUCAS AUTO POSTO LTDA,02.243.652/0001-82,ALAMEDA PROF LUCAS N.GARCES,3816,,VL ESPERIA,12953-162,DIESEL,21/06/2023,4.89,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,LUCAS AUTO POSTO LTDA,02.243.652/0001-82,ALAMEDA PROF LUCAS N.GARCES,3816,,VL ESPERIA,12953-162,GASOLINA ADITIVADA,21/06/2023,4.89,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,LUCAS AUTO POSTO LTDA,02.243.652/0001-82,ALAMEDA PROF LUCAS N.GARCES,3816,,VL ESPERIA,12953-162,GASOLINA,21/06/2023,4.79,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO JARDIM ALVINOPOLIS LTDA,60.627.718/0001-34,AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,1705,,ATIBAIA JARDIM,12940-000,ETANOL,21/06/2023,4.09,,R$ / litro,ALESAT,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO JARDIM ALVINOPOLIS LTDA,60.627.718/0001-34,AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,1705,,ATIBAIA JARDIM,12940-000,DIESEL S10,21/06/2023,5.39,,R$ / litro,ALESAT,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO JARDIM ALVINOPOLIS LTDA,60.627.718/0001-34,AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,1705,,ATIBAIA JARDIM,12940-000,GASOLINA ADITIVADA,21/06/2023,5.69,,R$ / litro,ALESAT,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO JARDIM ALVINOPOLIS LTDA,60.627.718/0001-34,AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,1705,,ATIBAIA JARDIM,12940-000,GASOLINA,21/06/2023,5.49,,R$ / litro,ALESAT,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO IPIATI LTDA.,59.245.290/0001-86,ALAMEDA LUCAS NOGUEIRA GARCES,4510,0,VILA OLGA,12953-162,ETANOL,21/06/2023,4.19,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO IPIATI LTDA.,59.245.290/0001-86,ALAMEDA LUCAS NOGUEIRA GARCES,4510,0,VILA OLGA,12953-162,GASOLINA ADITIVADA,21/06/2023,6.29,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO IPIATI LTDA.,59.245.290/0001-86,ALAMEDA LUCAS NOGUEIRA GARCES,4510,0,VILA OLGA,12953-162,GASOLINA,21/06/2023,5.79,,R$ / litro,IPIRANGA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO CHAPADAO DE ATIBAIA LTDA,03.925.902/0001-27,RODOVIA DOM PEDRO I,S/N,KM 78,RIO ABAIXO,12954-260,ETANOL,21/06/2023,3.59,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO CHAPADAO DE ATIBAIA LTDA,03.925.902/0001-27,RODOVIA DOM PEDRO I,S/N,KM 78,RIO ABAIXO,12954-260,DIESEL S10,21/06/2023,4.65,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO CHAPADAO DE ATIBAIA LTDA,03.925.902/0001-27,RODOVIA DOM PEDRO I,S/N,KM 78,RIO ABAIXO,12954-260,DIESEL,21/06/2023,4.55,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO CHAPADAO DE ATIBAIA LTDA,03.925.902/0001-27,RODOVIA DOM PEDRO I,S/N,KM 78,RIO ABAIXO,12954-260,GASOLINA,21/06/2023,5.09,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,SERV POSTO PERFIL LTDA,02.413.786/0001-02,AVENIDA CARLOS ALBERTO DE CARVALHO PINTO,753,,ALVINOPOLIS,12953-162,GASOLINA,21/06/2023,5.07,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,SERV POSTO PERFIL LTDA,02.413.786/0001-02,AVENIDA CARLOS ALBERTO DE CARVALHO PINTO,753,,ALVINOPOLIS,12953-162,ETANOL,21/06/2023,3.67,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,SERV POSTO PERFIL LTDA,02.413.786/0001-02,AVENIDA CARLOS ALBERTO DE CARVALHO PINTO,753,,ALVINOPOLIS,12953-162,DIESEL S10,21/06/2023,4.97,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,SERV POSTO PERFIL LTDA,02.413.786/0001-02,AVENIDA CARLOS ALBERTO DE CARVALHO PINTO,753,,ALVINOPOLIS,12953-162,GASOLINA ADITIVADA,21/06/2023,5.09,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO CANOA LTDA,02.037.736/0001-60,AVENIDA PREF. ANTONIO JULIO T. GARCIA LOPES,1162,,JARDIM CEREJEIRAS,12951-270,ETANOL,21/06/2023,3.48,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO CANOA LTDA,02.037.736/0001-60,AVENIDA PREF. ANTONIO JULIO T. GARCIA LOPES,1162,,JARDIM CEREJEIRAS,12951-270,DIESEL S10,21/06/2023,4.68,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO CANOA LTDA,02.037.736/0001-60,AVENIDA PREF. ANTONIO JULIO T. GARCIA LOPES,1162,,JARDIM CEREJEIRAS,12951-270,DIESEL,21/06/2023,4.58,,R$ / litro,BRANCA,2023-11-21
SE,SP,ATIBAIA,AUTO POSTO CANOA LTDA,02.037.736/0001-60,AVENIDA PREF. ANTONIO JULIO T. GARCIA LOPES,1162,,JARDIM CEREJEIRAS,12951-270,GASOLINA,21/06/2023,4.98,,R$ / litro,BRANCA,2023-11-21
SE,SP,AVARE,SILVEIRA & DUARTE AVARÉ LTDA,05.233.539/0001-04,AVENIDA PINHEIRO MACHADO,777,,JARDIM SÃO PAULO,18705-370,ETANOL,20/06/2023,3.74,,R$ / litro,BRANCA,2023-11-21
SE,SP,AVARE,SILVEIRA & DUARTE AVARÉ LTDA,05.233.539/0001-04,AVENIDA PINHEIRO MACHADO,777,,JARDIM SÃO PAULO,18705-370,DIESEL S10,20/06/2023,5.59,,R$ / litro,BRANCA,2023-11-21
SE,SP,AVARE,SILVEIRA & DUARTE AVARÉ LTDA,05.233.539/0001-04,AVENIDA PINHEIRO MACHADO,777,,JARDIM SÃO PAULO,18705-370,DIESEL,20/06/2023,5.49,,R$ / litro,BRANCA,2023-11-21
