Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
N,PA,SANTAREM,AUTO POSTO SAO JOAO COMERCIO DE COMBUSTIVEIS LTDA,03.452.123/0001-51,RODOVIA SANTAREM CUIABÁ,S/N,KM 23,TABOCAL,68030-000,GASOLINA ADITIVADA,09/02/2023,4.95,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,AUTO POSTO SAO JOAO COMERCIO DE COMBUSTIVEIS LTDA,03.452.123/0001-51,RODOVIA SANTAREM CUIABÁ,S/N,KM 23,TABOCAL,68030-000,GASOLINA,09/02/2023,4.85,,R$ / litro,EQUADOR,2023-11-21
N,AM,PARINTINS,O. MARTINS D`OLIVEIRA - ME,09.576.343/0001-73,RUA DOMINGOS PRESTES,174,B,CONJUNTO VITÓRIA RÉGIA,69151-970,DIESEL S10,07/02/2023,7.49,,R$ / litro,EQUADOR,2023-11-21
N,AM,PARINTINS,O. MARTINS D`OLIVEIRA - ME,09.576.343/0001-73,RUA DOMINGOS PRESTES,174,B,CONJUNTO VITÓRIA RÉGIA,69151-970,GASOLINA,07/02/2023,5.99,,R$ / litro,EQUADOR,2023-11-21
N,PA,CAMETA,BATISTA COMERCIO DE COMBUSTIVEIS LTDA,09.311.342/0001-05,RUA CORONEL RAIMUNDO LEAO,"2,628",,SANTA MARIA,68400-000,DIESEL S10,08/02/2023,7.19,,R$ / litro,EQUADOR,2023-11-21
N,PA,CAMETA,BATISTA COMERCIO DE COMBUSTIVEIS LTDA,09.311.342/0001-05,RUA CORONEL RAIMUNDO LEAO,"2,628",,SANTA MARIA,68400-000,GASOLINA,08/02/2023,5.39,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,DIESEL S10,06/02/2023,6.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA ADITIVADA,06/02/2023,5.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA,06/02/2023,5.59,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,J FERREIRA DOS REIS EIRELI,09.639.563/0002-80,RODOVIA SANTAREM CUIABA,S/N,"KM 19,                    COMUNIDADE SAO JOSE",INTERIOR,68030-991,DIESEL S10,09/02/2023,5.9,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,J FERREIRA DOS REIS EIRELI,09.639.563/0002-80,RODOVIA SANTAREM CUIABA,S/N,"KM 19,                    COMUNIDADE SAO JOSE",INTERIOR,68030-991,DIESEL,09/02/2023,5.86,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,J FERREIRA DOS REIS EIRELI,09.639.563/0002-80,RODOVIA SANTAREM CUIABA,S/N,"KM 19,                    COMUNIDADE SAO JOSE",INTERIOR,68030-991,GASOLINA ADITIVADA,09/02/2023,4.92,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,J FERREIRA DOS REIS EIRELI,09.639.563/0002-80,RODOVIA SANTAREM CUIABA,S/N,"KM 19,                    COMUNIDADE SAO JOSE",INTERIOR,68030-991,GASOLINA,09/02/2023,4.82,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,ETANOL,06/02/2023,4.59,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL S10,06/02/2023,6.68,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL,06/02/2023,6.62,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA ADITIVADA,06/02/2023,5.14,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA,06/02/2023,4.97,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,PH AUTO POSTO EIRELI - EPP,25.184.530/0001-68,AVENIDA SETE DE SETEMBRO,1555,,NOVA PORTO VELHO,76820-120,ETANOL,07/02/2023,4.49,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,PH AUTO POSTO EIRELI - EPP,25.184.530/0001-68,AVENIDA SETE DE SETEMBRO,1555,,NOVA PORTO VELHO,76820-120,DIESEL S10,07/02/2023,6.92,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,PH AUTO POSTO EIRELI - EPP,25.184.530/0001-68,AVENIDA SETE DE SETEMBRO,1555,,NOVA PORTO VELHO,76820-120,DIESEL,07/02/2023,6.89,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,PH AUTO POSTO EIRELI - EPP,25.184.530/0001-68,AVENIDA SETE DE SETEMBRO,1555,,NOVA PORTO VELHO,76820-120,GASOLINA ADITIVADA,07/02/2023,5.39,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,PH AUTO POSTO EIRELI - EPP,25.184.530/0001-68,AVENIDA SETE DE SETEMBRO,1555,,NOVA PORTO VELHO,76820-120,GASOLINA,07/02/2023,4.95,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL S10,08/02/2023,7.49,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL,08/02/2023,7.46,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,GASOLINA,08/02/2023,5.37,,R$ / litro,EQUADOR,2023-11-21
N,AM,ITACOATIARA,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA,84.110.394/0002-01,AVENIDA MARIO ANDRAEAZZA,3805,,SANTO ANTONIO,69100-003,DIESEL S10,13/02/2023,7.19,,R$ / litro,EQUADOR,2023-11-21
N,AM,ITACOATIARA,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA,84.110.394/0002-01,AVENIDA MARIO ANDRAEAZZA,3805,,SANTO ANTONIO,69100-003,GASOLINA,13/02/2023,5.68,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,DIESEL S10,13/02/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA ADITIVADA,13/02/2023,5.74,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA,13/02/2023,5.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,PARINTINS,O. MARTINS D`OLIVEIRA - ME,09.576.343/0001-73,RUA DOMINGOS PRESTES,174,B,CONJUNTO VITÓRIA RÉGIA,69151-970,DIESEL S10,15/02/2023,7.49,,R$ / litro,EQUADOR,2023-11-21
N,AM,PARINTINS,O. MARTINS D`OLIVEIRA - ME,09.576.343/0001-73,RUA DOMINGOS PRESTES,174,B,CONJUNTO VITÓRIA RÉGIA,69151-970,GASOLINA,15/02/2023,5.99,,R$ / litro,EQUADOR,2023-11-21
N,PA,CAMETA,BATISTA COMERCIO DE COMBUSTIVEIS LTDA,09.311.342/0001-05,RUA CORONEL RAIMUNDO LEAO,"2,628",,SANTA MARIA,68400-000,DIESEL S10,15/02/2023,6.5,,R$ / litro,EQUADOR,2023-11-21
N,PA,CAMETA,BATISTA COMERCIO DE COMBUSTIVEIS LTDA,09.311.342/0001-05,RUA CORONEL RAIMUNDO LEAO,"2,628",,SANTA MARIA,68400-000,GASOLINA,15/02/2023,5.39,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,DIESEL S10,15/02/2023,6.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA ADITIVADA,15/02/2023,5.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA,15/02/2023,5.59,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,ETANOL,13/02/2023,4.59,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL S10,13/02/2023,6.68,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL,13/02/2023,6.62,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA ADITIVADA,13/02/2023,5.14,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA,13/02/2023,4.97,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL S10,15/02/2023,6.98,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL,15/02/2023,6.94,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,GASOLINA,15/02/2023,5.37,,R$ / litro,EQUADOR,2023-11-21
N,AM,ITACOATIARA,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA,84.110.394/0002-01,AVENIDA MARIO ANDRAEAZZA,3805,,SANTO ANTONIO,69100-003,DIESEL S10,23/02/2023,7.19,,R$ / litro,EQUADOR,2023-11-21
N,AM,ITACOATIARA,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA,84.110.394/0002-01,AVENIDA MARIO ANDRAEAZZA,3805,,SANTO ANTONIO,69100-003,GASOLINA,23/02/2023,5.67,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,DIESEL S10,20/02/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA ADITIVADA,20/02/2023,5.74,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA,20/02/2023,5.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,ETANOL,20/02/2023,3.99,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,DIESEL S10,20/02/2023,5.99,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,GASOLINA ADITIVADA,20/02/2023,5.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,GASOLINA,20/02/2023,5.59,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0002-23,AVENIDA BORGES LEAL,2484,,APARECIDA,68040-080,DIESEL S10,20/02/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0002-23,AVENIDA BORGES LEAL,2484,,APARECIDA,68040-080,DIESEL,20/02/2023,6.28,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0002-23,AVENIDA BORGES LEAL,2484,,APARECIDA,68040-080,GASOLINA ADITIVADA,20/02/2023,4.89,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0002-23,AVENIDA BORGES LEAL,2484,,APARECIDA,68040-080,GASOLINA,20/02/2023,4.79,,R$ / litro,EQUADOR,2023-11-21
