Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA ADITIVADA,20/03/2023,6.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA,20/03/2023,6.59,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,ARMANDO DE PAULA LOPES NETO,15.087.545/0001-54,AVENIDA GUAPORE,4098,,IGARAPE,76824-396,DIESEL S10,22/03/2023,6.19,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,ARMANDO DE PAULA LOPES NETO,15.087.545/0001-54,AVENIDA GUAPORE,4098,,IGARAPE,76824-396,DIESEL,22/03/2023,6.19,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,ARMANDO DE PAULA LOPES NETO,15.087.545/0001-54,AVENIDA GUAPORE,4098,,IGARAPE,76824-396,GASOLINA ADITIVADA,22/03/2023,6.16,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,ARMANDO DE PAULA LOPES NETO,15.087.545/0001-54,AVENIDA GUAPORE,4098,,IGARAPE,76824-396,GASOLINA,22/03/2023,6.16,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,ETANOL,22/03/2023,4.89,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL S10,22/03/2023,6.28,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL,22/03/2023,6.22,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA ADITIVADA,22/03/2023,6.05,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA,22/03/2023,6.05,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL S10,22/03/2023,6.98,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL,22/03/2023,6.94,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,GASOLINA,22/03/2023,5.74,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,ETANOL,27/03/2023,4.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,DIESEL S10,27/03/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA ADITIVADA,27/03/2023,6.44,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA,27/03/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,ETANOL,27/03/2023,4.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,DIESEL S10,27/03/2023,5.99,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,GASOLINA ADITIVADA,27/03/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,GASOLINA,27/03/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,DIESEL S10,28/03/2023,6.14,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,DIESEL,28/03/2023,6.1,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,GASOLINA ADITIVADA,28/03/2023,5.39,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,GASOLINA,28/03/2023,5.29,,R$ / litro,EQUADOR,2023-11-21
N,PA,CAMETA,BATISTA COMERCIO DE COMBUSTIVEIS LTDA,09.311.342/0001-05,RUA CORONEL RAIMUNDO LEAO,"2,628",,SANTA MARIA,68400-000,DIESEL S10,28/03/2023,6.5,,R$ / litro,EQUADOR,2023-11-21
N,PA,CAMETA,BATISTA COMERCIO DE COMBUSTIVEIS LTDA,09.311.342/0001-05,RUA CORONEL RAIMUNDO LEAO,"2,628",,SANTA MARIA,68400-000,GASOLINA,28/03/2023,5.89,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,ETANOL,27/03/2023,4.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,DIESEL S10,27/03/2023,5.99,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA ADITIVADA,27/03/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA,27/03/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,ETANOL,27/03/2023,4.89,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL S10,27/03/2023,6.22,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL,27/03/2023,6.22,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA ADITIVADA,27/03/2023,6.05,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA,27/03/2023,6.05,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL S10,29/03/2023,6.78,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL,29/03/2023,6.74,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,GASOLINA,29/03/2023,5.74,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,ETANOL,03/04/2023,4.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,DIESEL S10,03/04/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA ADITIVADA,03/04/2023,6.44,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA,03/04/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,ETANOL,03/04/2023,4.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,DIESEL S10,03/04/2023,5.99,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,GASOLINA ADITIVADA,03/04/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,GASOLINA,03/04/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,DIESEL S10,04/04/2023,6.01,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,DIESEL,04/04/2023,6,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,GASOLINA ADITIVADA,04/04/2023,5.39,,R$ / litro,EQUADOR,2023-11-21
N,PA,SANTAREM,E C AGUIAR,83.582.221/0001-42,AVENIDA MUIRAQUITÃ,483,,DIAMANTINO,68015-420,GASOLINA,04/04/2023,5.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,PARINTINS,O. MARTINS D`OLIVEIRA - ME,09.576.343/0001-73,RUA DOMINGOS PRESTES,174,B,CONJUNTO VITÓRIA RÉGIA,69151-970,DIESEL S10,05/04/2023,7.49,,R$ / litro,EQUADOR,2023-11-21
N,AM,PARINTINS,O. MARTINS D`OLIVEIRA - ME,09.576.343/0001-73,RUA DOMINGOS PRESTES,174,B,CONJUNTO VITÓRIA RÉGIA,69151-970,GASOLINA,05/04/2023,6.89,,R$ / litro,EQUADOR,2023-11-21
N,PA,CAMETA,BATISTA COMERCIO DE COMBUSTIVEIS LTDA,09.311.342/0001-05,RUA CORONEL RAIMUNDO LEAO,"2,628",,SANTA MARIA,68400-000,DIESEL S10,04/04/2023,6.5,,R$ / litro,EQUADOR,2023-11-21
N,PA,CAMETA,BATISTA COMERCIO DE COMBUSTIVEIS LTDA,09.311.342/0001-05,RUA CORONEL RAIMUNDO LEAO,"2,628",,SANTA MARIA,68400-000,GASOLINA,04/04/2023,5.89,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,DIESEL S10,03/04/2023,5.99,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA ADITIVADA,03/04/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0004-27,RUA BARAO DO RIO BRANCO,15,PARQUE DAS LARANJEIRAS,FLORES,69058-581,GASOLINA,03/04/2023,6.29,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,ETANOL,03/04/2023,4.89,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL S10,03/04/2023,6.18,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,DIESEL,03/04/2023,6.12,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA ADITIVADA,03/04/2023,6.05,,R$ / litro,EQUADOR,2023-11-21
N,RO,PORTO VELHO,AUTO POSTO SÃO FRANCISCO LTDA.,11.086.301/0002-87,AVENIDA AMAZONAS,7908,,ESCOLA DE POLICIA,76824-801,GASOLINA,03/04/2023,6.05,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL S10,05/04/2023,6.78,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,DIESEL,05/04/2023,6.74,,R$ / litro,EQUADOR,2023-11-21
N,RO,JI-PARANA,BASE COMERCIO DE COMBUSTIVEIS LTDA.,11.120.460/0002-50,AVENIDA BRASIL,1590,,NOVA BRASILIA,76908-504,GASOLINA,05/04/2023,5.74,,R$ / litro,EQUADOR,2023-11-21
N,AM,ITACOATIARA,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA,84.110.394/0002-01,AVENIDA MARIO ANDRAEAZZA,3805,,SANTO ANTONIO,69100-003,DIESEL S10,10/04/2023,7.19,,R$ / litro,EQUADOR,2023-11-21
N,AM,ITACOATIARA,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA,84.110.394/0002-01,AVENIDA MARIO ANDRAEAZZA,3805,,SANTO ANTONIO,69100-003,GASOLINA,10/04/2023,6.55,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,DIESEL S10,10/04/2023,6.39,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA ADITIVADA,10/04/2023,6.74,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,FORTE COMERCIO DE DERIVADOS DE PETROLEO LTDA,07.848.998/0001-28,AVENIDA ALVARO BOTELHO MAIA,1690,,PRACA 14 DE JANEIRO,69020-210,GASOLINA,10/04/2023,6.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,ETANOL,10/04/2023,4.89,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,DIESEL S10,10/04/2023,6.39,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,GASOLINA ADITIVADA,10/04/2023,6.59,,R$ / litro,EQUADOR,2023-11-21
N,AM,MANAUS,AUTO POSTO NETAO LTDA - ME,03.380.051/0001-84,RUA 27,13,A-NUCLEO 3,CIDADE NOVA,69094-270,GASOLINA,10/04/2023,6.59,,R$ / litro,EQUADOR,2023-11-21
