Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,ETANOL,09/05/2023,4.28,,R$ / litro,FAN,2023-11-21
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,DIESEL S10,09/05/2023,5.49,,R$ / litro,FAN,2023-11-21
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,DIESEL,09/05/2023,5.29,,R$ / litro,FAN,2023-11-21
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,GASOLINA ADITIVADA,09/05/2023,5.44,,R$ / litro,FAN,2023-11-21
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,GASOLINA,09/05/2023,5.44,,R$ / litro,FAN,2023-11-21
NE,RN,MOSSORO,FRANCISCO ASSIS NETO POSTO IGUANA,08.350.555/0005-07,RODOVIA BR-304,KM 47.4,,LIBERDADE,56633-550,ETANOL,08/05/2023,4.38,,R$ / litro,FAN,2023-11-21
NE,RN,MOSSORO,FRANCISCO ASSIS NETO POSTO IGUANA,08.350.555/0005-07,RODOVIA BR-304,KM 47.4,,LIBERDADE,56633-550,DIESEL S10,08/05/2023,5.49,,R$ / litro,FAN,2023-11-21
NE,RN,MOSSORO,FRANCISCO ASSIS NETO POSTO IGUANA,08.350.555/0005-07,RODOVIA BR-304,KM 47.4,,LIBERDADE,56633-550,DIESEL,08/05/2023,5.24,,R$ / litro,FAN,2023-11-21
NE,RN,MOSSORO,FRANCISCO ASSIS NETO POSTO IGUANA,08.350.555/0005-07,RODOVIA BR-304,KM 47.4,,LIBERDADE,56633-550,GASOLINA,08/05/2023,5.99,,R$ / litro,FAN,2023-11-21
NE,RN,MOSSORO,FRANCISCO ASSIS NETO POSTO IGUANA,08.350.555/0001-75,RUA FELIPE CAMARÃO,415,,CENTRO,59655-000,ETANOL,09/05/2023,4.38,,R$ / litro,FAN,2023-11-21
NE,RN,MOSSORO,FRANCISCO ASSIS NETO POSTO IGUANA,08.350.555/0001-75,RUA FELIPE CAMARÃO,415,,CENTRO,59655-000,DIESEL,09/05/2023,5.24,,R$ / litro,FAN,2023-11-21
NE,RN,MOSSORO,FRANCISCO ASSIS NETO POSTO IGUANA,08.350.555/0001-75,RUA FELIPE CAMARÃO,415,,CENTRO,59655-000,GASOLINA ADITIVADA,09/05/2023,6.09,,R$ / litro,FAN,2023-11-21
NE,RN,MOSSORO,FRANCISCO ASSIS NETO POSTO IGUANA,08.350.555/0001-75,RUA FELIPE CAMARÃO,415,,CENTRO,59655-000,GASOLINA,09/05/2023,5.99,,R$ / litro,FAN,2023-11-21
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,ETANOL,16/05/2023,4.28,,R$ / litro,FAN,2023-11-21
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,DIESEL S10,16/05/2023,5.49,,R$ / litro,FAN,2023-11-21
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,DIESEL,16/05/2023,5.29,,R$ / litro,FAN,2023-11-21
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,GASOLINA ADITIVADA,16/05/2023,5.44,,R$ / litro,FAN,2023-11-21
NE,PB,PATOS,MEDEIROS COMERCIO DE COMBUSTVEIS LTDA,07.144.552/0001-12,RUA DO PRADO,SN,"LOTES- 5,6,7,8,9 E 10",LOT.DARCILIO WANDERL,58703-000,GASOLINA,16/05/2023,5.44,,R$ / litro,FAN,2023-11-21
