Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
NE,SE,NOSSA SENHORA DO SOCORRO,PETROX COMERCIAL LTDA,05.297.480/0015-13,RODOVIA BR 101,S/N,KM 89,PARQUE DOS FAROIS,49160-000,ETANOL,21/02/2023,3.99,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,PETROX COMERCIAL LTDA,05.297.480/0015-13,RODOVIA BR 101,S/N,KM 89,PARQUE DOS FAROIS,49160-000,DIESEL S10,21/02/2023,5.58,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,PETROX COMERCIAL LTDA,05.297.480/0015-13,RODOVIA BR 101,S/N,KM 89,PARQUE DOS FAROIS,49160-000,DIESEL,21/02/2023,5.55,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,PETROX COMERCIAL LTDA,05.297.480/0015-13,RODOVIA BR 101,S/N,KM 89,PARQUE DOS FAROIS,49160-000,GASOLINA,21/02/2023,5.29,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,ARACAJU,PETROX COMERCIAL LTDA,05.297.480/0022-42,AVENIDA PRESIDENTE TANCREDO NEVES,4501,,JABOTIANA,49095-000,ETANOL,21/02/2023,3.99,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,ARACAJU,PETROX COMERCIAL LTDA,05.297.480/0022-42,AVENIDA PRESIDENTE TANCREDO NEVES,4501,,JABOTIANA,49095-000,GASOLINA ADITIVADA,21/02/2023,5.29,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,ARACAJU,PETROX COMERCIAL LTDA,05.297.480/0022-42,AVENIDA PRESIDENTE TANCREDO NEVES,4501,,JABOTIANA,49095-000,GASOLINA,21/02/2023,5.29,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,ARACAJU,PETROX COMERCIAL LTDA,05.297.480/0022-42,AVENIDA PRESIDENTE TANCREDO NEVES,4501,,JABOTIANA,49095-000,GNV,21/02/2023,4.77,,R$ / m³,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,PETROX COMERCIAL LTDA,05.297.480/0025-95,"AVENIDA COLETORA A, CONJ. MARCOS FREIRE I,",2457,LOTE  01-A                QUADRA52-A,TAICOCA,49160-000,ETANOL,21/02/2023,3.99,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,PETROX COMERCIAL LTDA,05.297.480/0025-95,"AVENIDA COLETORA A, CONJ. MARCOS FREIRE I,",2457,LOTE  01-A                QUADRA52-A,TAICOCA,49160-000,DIESEL S10,21/02/2023,6.59,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,PETROX COMERCIAL LTDA,05.297.480/0025-95,"AVENIDA COLETORA A, CONJ. MARCOS FREIRE I,",2457,LOTE  01-A                QUADRA52-A,TAICOCA,49160-000,GASOLINA ADITIVADA,21/02/2023,5.29,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,PETROX COMERCIAL LTDA,05.297.480/0025-95,"AVENIDA COLETORA A, CONJ. MARCOS FREIRE I,",2457,LOTE  01-A                QUADRA52-A,TAICOCA,49160-000,GASOLINA,21/02/2023,5.29,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,POSTO CONFIANCA LTDA.,07.167.072/0001-77,AVENIDA COLETORA C - CONJUNTO MARCOS FREIRE II,1,LOTES 01 E 03 - AB,CENTRO,49160-000,ETANOL,28/02/2023,3.99,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,POSTO CONFIANCA LTDA.,07.167.072/0001-77,AVENIDA COLETORA C - CONJUNTO MARCOS FREIRE II,1,LOTES 01 E 03 - AB,CENTRO,49160-000,DIESEL S10,28/02/2023,6.09,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,POSTO CONFIANCA LTDA.,07.167.072/0001-77,AVENIDA COLETORA C - CONJUNTO MARCOS FREIRE II,1,LOTES 01 E 03 - AB,CENTRO,49160-000,GASOLINA ADITIVADA,28/02/2023,5.18,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,POSTO CONFIANCA LTDA.,07.167.072/0001-77,AVENIDA COLETORA C - CONJUNTO MARCOS FREIRE II,1,LOTES 01 E 03 - AB,CENTRO,49160-000,GASOLINA,28/02/2023,5.18,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
NE,SE,NOSSA SENHORA DO SOCORRO,AUTO POSTO SENHOR DO BOMFIM LTDA,32.734.832/0001-28,"RODOVIA BR 235 KM 5,8 JARDIM ITACANEMA I",SN,,SOBRADO,49160-000,ETANOL,28/02/2023,3.99,,R$ / litro,PETROX DISTRIBUIDORA,2023-11-21
