Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira,Data da Carga ETL
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,ETANOL,03/04/2023,3.59,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,DIESEL S10,03/04/2023,5.59,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,DIESEL,03/04/2023,5.49,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,GASOLINA ADITIVADA,03/04/2023,5.05,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,GASOLINA,03/04/2023,4.96,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,ETANOL,03/04/2023,3.59,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,DIESEL S10,03/04/2023,5.59,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,DIESEL,03/04/2023,5.49,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,GASOLINA ADITIVADA,03/04/2023,5.05,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,GASOLINA,03/04/2023,4.96,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,ETANOL,10/04/2023,3.69,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,DIESEL S10,10/04/2023,5.59,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,DIESEL,10/04/2023,5.49,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,GASOLINA ADITIVADA,10/04/2023,5.17,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO TRILHA DO VERDE LTDA,08.754.759/0001-71,AVENIDA IVO MARIO ISAAC PIRES,3200,,TIJUCO PRETO,06720-480,GASOLINA,10/04/2023,5.09,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,ETANOL,10/04/2023,3.69,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,DIESEL S10,10/04/2023,5.59,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,DIESEL,10/04/2023,5.49,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,GASOLINA ADITIVADA,10/04/2023,5.17,,R$ / litro,D`MAIS,2023-11-21
SE,SP,COTIA,AUTO POSTO ROTA 66 LTDA,00.653.292/0001-61,AVENIDA ROQUE CELESTINO PIRES,959,,CAUCAIA DO ALTO,06727-185,GASOLINA,10/04/2023,5.09,,R$ / litro,D`MAIS,2023-11-21
